"id_cust","recency","frequency","monetary"
"707012864",63,2,227272
"907021017",90,2,36364
"947022700",94,1,11364
"1257117798",82,3,240909
"887123712",88,1,18182
"907198850",66,3,45455
"907203077",90,2,36364
"1117330748",111,1,4545
"487448588",48,2,127272
"327463168",32,1,11364
"417515490",41,1,18182
"1237549263",6,9,200002
"1007558725",100,1,11364
"1177567229",117,1,27273
"907589699",90,2,31818
"927599404",50,12,420453
"1387604948",138,1,1364
"1367617191",89,6,55909
"897737618",89,1,9091
"157741916",15,2,2728
"1387760640",138,1,4545
"107778580",10,2,35454
"507923183",50,1,11364
"1247923514",124,1,56818
"897934681",89,1,54545
"1397958677",139,1,4545
"1427979266",142,1,50500
"388045578",38,1,1364
"1258089104",93,2,22728
"1188105987",118,2,100000
"988194723",98,1,23636
"1508268950",19,14,709091
"168319060",16,2,2728
"968365409",75,5,97727
"388543190",38,1,70909
"1258587770",125,1,4545
"908741284",90,2,36364
"1449102661",25,4,83400
"829379767",36,3,59090
"1329444778",132,7,704543
"949449747",94,1,4545
"959753927",95,1,22727
"959801530",3,4,66000
"279868399",27,1,20500
"1339875126",133,1,11060
"1189955780",118,1,20500
"1209972292",120,1,1364
"1499991008",5,3,45455
"901611142",89,2,13636
"1405557740",140,1,50500
"766061102",76,1,10500
"1419637549",141,1,16500
"1259896773",125,1,20500
"1201960914",120,1,70000
"115426667",11,1,20850
"115426669",11,1,20850
"260010209",26,1,11364
"900011139",90,1,9091
"880043172",88,1,1364
"410077816",41,1,9091
"40127804",4,1,1364
"500131410",22,4,269091
"1170150545",117,1,1364
"1180188369",118,1,1364
"960192497",84,2,2272
"890217122",89,3,4092
"460231510",46,1,70909
"1360249164",83,3,57273
"870421611",87,2,22727
"410425720",41,2,31818
"690707673",69,1,1364
"1290708034",26,5,14547
"410708154",39,2,2728
"1240722584",124,1,18182
"900771555",90,2,36364
"390786594",39,1,4545
"1410850171",141,2,4546
"150905753",15,1,138182
"60913956",6,1,11364
"1060987626",106,2,5909
"944150113",94,1,62727
"904700007",89,2,31818
"1394916261",116,4,9092
"64990788",6,2,25454
"1124994499",112,1,9091
"415088304",41,1,54545
"405092554",40,3,38181
"1365152266",88,15,67045
"855452231",85,1,56818
"835457226",83,1,54545
"565460361",56,1,27273
"415715949",41,1,1364
"915748898",91,1,9091
"95791242",9,1,20850
"1245798184",14,4,62000
"1486069408",147,6,63637
"326301117",32,2,125454
"946316591",3,15,193407
"96344719",8,4,50000
"846403354",84,1,22727
"416408910",41,2,5909
"86488712",8,1,11364
"1416490190",141,1,9091
"906554846",90,1,9091
"1106595558",20,2,13637
"1416673147",118,2,31818
"926716264",92,2,40909
